Reference Number,Easting,Northing,Number of Vehicles,Accident Date,Time (24hr),1st Road Class
332609,432271,426317,1,26-Apr-09,527,Motorway
332609,432271,426317,1,26-Apr-09,527,Motorway
333109,435120,425904,2,26-Apr-09,749,Motorway
336909,430050,433787,1,26-Apr-09,1905,Unclassified
330609,434634,434647,2,27-Apr-09,1120,Unclassified
331009,430186,433391,1,27-Apr-09,1615,Unclassified
331309,429130,433561,2,27-Apr-09,2020,A
347609,431103,433654,2,27-Apr-09,1053,A
347609,431103,433654,2,27-Apr-09,1053,A
347609,431103,433654,2,27-Apr-09,1053,A
347609,431103,433654,2,27-Apr-09,1053,A
352309,433261,429617,1,27-Apr-09,2030,Motorway
379809,431270,432348,2,27-Apr-09,1635,A
342609,445395,431761,1,28-Apr-09,1907,A(M)
342909,428059,435959,2,28-Apr-09,1455,A
346009,432669,438158,2,28-Apr-09,800,Unclassified
346809,433306,434031,2,28-Apr-09,1730,A
347509,442860,441968,2,28-Apr-09,1255,A(M)
362509,429017,433472,2,28-Apr-09,748,A
413909,428417,424101,1,28-Apr-09,1655,Unclassified
334809,429400,432219,2,29-Apr-09,1410,Unclassified
334809,429400,432219,2,29-Apr-09,1410,Unclassified
335609,428331,435751,2,29-Apr-09,1830,A
337409,425161,437878,2,29-Apr-09,2310,A
344009,433765,434402,1,29-Apr-09,1925,Unclassified
345709,427326,437196,3,29-Apr-09,1830,A
346509,441097,433561,2,29-Apr-09,1510,Unclassified
350109,442099,445188,1,29-Apr-09,1543,Unclassified
358109,423474,434033,1,29-Apr-09,830,Unclassified
339109,429641,434771,2,30-Apr-09,1625,A
339109,429641,434771,2,30-Apr-09,1625,A
341909,427323,425904,1,30-Apr-09,830,A
346109,420085,439080,1,30-Apr-09,1330,A
347309,433362,436188,1,30-Apr-09,1535,Unclassified
348309,440840,445874,2,30-Apr-09,1215,A(M)
348309,440840,445874,2,30-Apr-09,1215,A(M)
363309,428151,432789,1,30-Apr-09,1805,B
342709,445250,427974,3,1-May-09,1930,Unclassified
342709,445250,427974,3,1-May-09,1930,Unclassified
344309,426269,435813,1,1-May-09,55,A
344509,439776,433152,2,1-May-09,1648,A
345009,426068,431587,2,1-May-09,1300,A
345209,440965,445663,2,1-May-09,1419,A(M)
345209,440965,445663,2,1-May-09,1419,A(M)
345509,429266,437224,2,1-May-09,900,Unclassified
346309,428124,434503,2,1-May-09,850,Unclassified
346909,422980,432937,2,1-May-09,1900,Unclassified
346909,422980,432937,2,1-May-09,1900,Unclassified
346909,422980,432937,2,1-May-09,1900,Unclassified
349109,429597,432561,2,1-May-09,1145,Unclassified
354409,440874,429219,2,1-May-09,820,Unclassified
354409,440874,429219,2,1-May-09,820,Unclassified
357609,427160,438314,2,1-May-09,715,A
471409,427197,433516,1,1-May-09,1010,Unclassified
345409,436954,435625,2,2-May-09,1430,Unclassified
349509,430839,433999,2,2-May-09,1400,A
349509,430839,433999,2,2-May-09,1400,A
350009,431508,435120,2,2-May-09,1310,Unclassified
349809,427449,431265,1,3-May-09,435,A
353009,430418,434276,1,3-May-09,2135,Unclassified
353509,433006,427611,2,3-May-09,1930,A
353709,428954,435474,2,3-May-09,1855,A
353909,423566,437890,2,3-May-09,1235,Unclassified
350509,428457,429074,2,4-May-09,1653,A
350909,429033,432423,1,4-May-09,1255,Unclassified
350909,429033,432423,1,4-May-09,1255,Unclassified
354009,422929,443086,2,4-May-09,945,A
354009,422929,443086,2,4-May-09,945,A
414009,434272,435306,3,4-May-09,345,Unclassified
347809,441111,445751,1,5-May-09,15,A
347809,441111,445751,1,5-May-09,15,A
351809,430062,433709,1,5-May-09,950,Unclassified
353109,429163,433959,2,5-May-09,1130,Unclassified
354309,428585,431548,2,5-May-09,650,A
357809,431759,434884,2,5-May-09,1540,Unclassified
358009,432025,435333,2,5-May-09,1537,Unclassified
359609,432535,443142,2,5-May-09,1008,A
359609,432535,443142,2,5-May-09,1008,A
360809,435583,435684,1,5-May-09,1515,Unclassified
367509,431177,434981,2,5-May-09,745,A
367509,431177,434981,2,5-May-09,745,A
384809,434381,435252,1,5-May-09,2050,Unclassified
474709,427074,433507,1,5-May-09,1710,Unclassified
352609,425121,432402,1,6-May-09,1950,Unclassified
356509,431040,431369,2,6-May-09,1230,Unclassified
358309,429109,436248,2,6-May-09,1550,Unclassified
358409,428106,426257,2,6-May-09,1525,A
358909,425742,435658,1,6-May-09,118,B
359009,429999,434135,1,6-May-09,1850,A
359309,431083,429661,1,6-May-09,1610,Unclassified
370609,422470,432924,1,6-May-09,750,Unclassified
379609,441051,432044,2,6-May-09,1925,A
379609,441051,432044,2,6-May-09,1925,A
363709,428457,429079,2,7-May-09,1610,A
364209,424075,434507,2,7-May-09,920,Unclassified
364209,424075,434507,2,7-May-09,920,Unclassified
368109,432239,444849,3,7-May-09,1325,A
368109,432239,444849,3,7-May-09,1325,A
370909,429320,426406,2,7-May-09,716,Motorway
379309,432375,438796,2,7-May-09,1025,Unclassified
379009,443227,433190,2,8-May-09,2042,Unclassified
379009,443227,433190,2,8-May-09,2042,Unclassified
379009,443227,433190,2,8-May-09,2042,Unclassified
431509,433528,429794,1,8-May-09,505,A
604109,425938,435563,2,8-May-09,2150,B
364109,426015,437493,2,9-May-09,1740,Unclassified
364109,426015,437493,2,9-May-09,1740,Unclassified
364109,426015,437493,2,9-May-09,1740,Unclassified
364109,426015,437493,2,9-May-09,1740,Unclassified
364109,426015,437493,2,9-May-09,1740,Unclassified
370509,429953,433128,1,9-May-09,215,Unclassified
372809,429796,433780,2,9-May-09,1714,Unclassified
374809,427808,435824,2,9-May-09,240,Unclassified
378109,440389,433268,1,9-May-09,1300,B
364509,428225,435782,1,10-May-09,155,A
364509,428225,435782,1,10-May-09,155,A
368409,423460,434023,3,10-May-09,2030,Unclassified
370009,427100,433694,1,10-May-09,1534,A
371709,430188,434360,4,10-May-09,1958,A(M)
371709,430188,434360,4,10-May-09,1958,A(M)
371709,430188,434360,4,10-May-09,1958,A(M)
415009,432849,438722,3,10-May-09,1525,Unclassified
373109,426736,433835,2,11-May-09,1500,A
373309,426443,433867,1,11-May-09,1745,Unclassified
375909,426070,440082,2,11-May-09,1805,Unclassified
376309,430951,428236,1,11-May-09,1325,Unclassified
376409,424132,428232,2,11-May-09,1625,A
382109,425037,434399,1,11-May-09,1140,A
382809,439252,432416,1,11-May-09,2140,A
395509,429580,430353,2,11-May-09,751,A
422609,428693,435249,2,11-May-09,1830,Unclassified
377709,442182,430333,2,12-May-09,1730,Unclassified
380109,434355,434347,1,12-May-09,1729,A
380309,428857,432534,2,12-May-09,1810,A
380309,428857,432534,2,12-May-09,1810,A
382209,420296,434227,2,12-May-09,1515,A
382309,428099,434756,2,12-May-09,940,Unclassified
382309,428099,434756,2,12-May-09,940,Unclassified
401009,431876,436032,1,12-May-09,1715,Unclassified
383109,432531,443137,2,13-May-09,750,A
383509,424163,428142,2,13-May-09,1340,A
383509,424163,428142,2,13-May-09,1340,A
399809,429905,434282,2,14-May-09,1525,A
406809,428503,433186,2,14-May-09,1355,A
406809,428503,433186,2,14-May-09,1355,A
481609,429632,431968,1,14-May-09,1620,Unclassified
384909,430436,433457,2,15-May-09,330,Unclassified
384909,430436,433457,2,15-May-09,330,Unclassified
384909,430436,433457,2,15-May-09,330,Unclassified
385309,430147,432827,2,15-May-09,856,A
385309,430147,432827,2,15-May-09,856,A
387709,430496,433712,1,15-May-09,1320,Unclassified
387909,430491,431158,2,15-May-09,1720,Unclassified
388409,428984,430932,2,15-May-09,1300,Unclassified
388409,428984,430932,2,15-May-09,1300,Unclassified
388409,428984,430932,2,15-May-09,1300,Unclassified
390209,445402,431760,3,15-May-09,907,A(M)
390409,436381,433645,1,15-May-09,1800,Unclassified
390509,425717,435157,2,15-May-09,715,Unclassified
390509,425717,435157,2,15-May-09,715,Unclassified
390509,425717,435157,2,15-May-09,715,Unclassified
390509,425717,435157,2,15-May-09,715,Unclassified
390509,425717,435157,2,15-May-09,715,Unclassified
391109,433311,441762,2,15-May-09,1725,Unclassified
391109,433311,441762,2,15-May-09,1725,Unclassified
391309,427593,435930,2,15-May-09,1140,B
391309,427593,435930,2,15-May-09,1140,B
395309,430760,424364,2,15-May-09,1155,A
402209,433270,429616,1,15-May-09,535,Motorway
402209,433270,429616,1,15-May-09,535,Motorway
405809,427666,435305,2,15-May-09,1630,Unclassified
387509,441080,445560,2,16-May-09,1130,A(M)
390709,434521,436328,1,16-May-09,1530,Unclassified
394309,431503,430574,1,16-May-09,1640,Unclassified
389509,429343,437358,2,17-May-09,1550,Unclassified
389509,429343,437358,2,17-May-09,1550,Unclassified
389909,431928,432895,2,17-May-09,1505,Unclassified
398709,434106,433729,1,17-May-09,1230,Unclassified
409409,430827,433531,1,17-May-09,2330,Unclassified
393309,427065,431798,2,18-May-09,1700,A
395409,425136,433910,1,18-May-09,1720,Unclassified
399909,435544,438367,2,18-May-09,1340,Unclassified
402109,428750,436966,2,18-May-09,1328,Unclassified
412009,428227,436523,2,18-May-09,1900,B
647109,431967,435829,2,18-May-09,1810,A
647109,431967,435829,2,18-May-09,1810,A
394709,421977,436511,2,19-May-09,1333,A
397509,424673,427575,6,19-May-09,630,Motorway
397509,424673,427575,6,19-May-09,630,Motorway
397509,424673,427575,6,19-May-09,630,Motorway
397509,424673,427575,6,19-May-09,630,Motorway
397509,424673,427575,6,19-May-09,630,Motorway
397509,424673,427575,6,19-May-09,630,Motorway
397509,424673,427575,6,19-May-09,630,Motorway
398309,431017,431517,3,19-May-09,1330,Unclassified
398309,431017,431517,3,19-May-09,1330,Unclassified
398309,431017,431517,3,19-May-09,1330,Unclassified
398909,430663,433602,2,19-May-09,730,Unclassified
400009,426367,431777,2,19-May-09,1800,Unclassified
404509,431878,435121,1,19-May-09,1947,Unclassified
400509,429646,432926,2,20-May-09,1545,Unclassified
400509,429646,432926,2,20-May-09,1545,Unclassified
400509,429646,432926,2,20-May-09,1545,Unclassified
400909,429830,433926,1,20-May-09,1825,Unclassified
401709,435820,435761,2,20-May-09,2220,Unclassified
402909,420323,445538,2,20-May-09,1715,Unclassified
405209,432823,435664,2,20-May-09,2023,Unclassified
403809,431757,431166,2,21-May-09,2130,Unclassified
403809,431757,431166,2,21-May-09,2130,Unclassified
408909,423084,433821,1,21-May-09,1923,Unclassified
410209,429101,434717,2,21-May-09,1400,Unclassified
412509,428236,436521,2,21-May-09,1730,B
413009,439126,430585,2,21-May-09,2215,Unclassified
413409,432440,435189,1,21-May-09,915,Unclassified
413409,432440,435189,1,21-May-09,915,Unclassified
413709,432306,434539,2,21-May-09,835,Unclassified
413709,432306,434539,2,21-May-09,835,Unclassified
443109,432542,434154,1,21-May-09,1712,Unclassified
515609,430479,435444,2,21-May-09,1325,A
515609,430479,435444,2,21-May-09,1325,A
515609,430479,435444,2,21-May-09,1325,A
403709,430381,433481,1,22-May-09,1115,Unclassified
406609,434511,434412,1,22-May-09,1615,A
407909,430374,433494,1,22-May-09,1421,Unclassified
408309,430814,435376,2,22-May-09,955,Unclassified
417909,432190,428921,3,22-May-09,532,Motorway
419409,419505,433656,1,22-May-09,740,Unclassified
403109,425924,439416,1,23-May-09,1330,Unclassified
403109,425924,439416,1,23-May-09,1330,Unclassified
403409,430363,433547,1,23-May-09,920,Unclassified
408009,428961,433435,2,23-May-09,1545,Unclassified
408609,421185,440203,1,23-May-09,1320,B
410109,431771,435536,2,23-May-09,1450,A
411609,431968,435825,2,23-May-09,1400,A
411609,431968,435825,2,23-May-09,1400,A
413209,431762,435517,3,23-May-09,1500,A
413209,431762,435517,3,23-May-09,1500,A
413209,431762,435517,3,23-May-09,1500,A
415109,440944,428428,2,23-May-09,1930,Unclassified
425309,433490,435139,2,23-May-09,614,Unclassified
469009,431585,440362,5,23-May-09,25,Unclassified
409709,428118,435899,2,24-May-09,1230,A
412809,428925,429829,2,24-May-09,1545,A
413809,432174,434628,2,24-May-09,1610,Unclassified
413809,432174,434628,2,24-May-09,1610,Unclassified
413809,432174,434628,2,24-May-09,1610,Unclassified
423809,425480,434193,3,24-May-09,2248,Unclassified
450509,429834,428083,1,24-May-09,2050,Unclassified
412209,430263,434068,1,25-May-09,900,Unclassified
413609,429136,436751,2,25-May-09,1930,B
415909,432744,437642,1,25-May-09,1350,Unclassified
416009,427225,429456,2,25-May-09,1323,Unclassified
416409,429409,433921,3,25-May-09,1310,A
416409,429409,433921,3,25-May-09,1310,A
433109,427954,435305,2,25-May-09,15,Unclassified
451709,426285,432004,2,25-May-09,15,Unclassified
415509,434592,435643,2,26-May-09,2230,Unclassified
416109,432193,434636,1,26-May-09,1815,Unclassified
419609,424085,428073,2,26-May-09,2115,A
423009,431121,433671,1,26-May-09,1407,A
423909,430411,433744,1,27-May-09,1400,Unclassified
425109,432715,438967,2,27-May-09,1640,Unclassified
425109,432715,438967,2,27-May-09,1640,Unclassified
425509,440021,428785,1,27-May-09,2030,Unclassified
425509,440021,428785,1,27-May-09,2030,Unclassified
428809,432206,438846,1,27-May-09,1230,Unclassified
423609,428434,431329,1,28-May-09,1340,A
425709,436233,435849,1,28-May-09,1745,Unclassified
434709,440365,448138,1,28-May-09,1020,A
469809,428843,435545,3,28-May-09,1350,A
536709,430660,433453,1,28-May-09,1545,Unclassified
423209,423475,434032,2,29-May-09,1228,Unclassified
423209,423475,434032,2,29-May-09,1228,Unclassified
423209,423475,434032,2,29-May-09,1228,Unclassified
423209,423475,434032,2,29-May-09,1228,Unclassified
423709,421332,432740,2,29-May-09,1530,Unclassified
427909,442613,427576,1,29-May-09,1600,A
430209,444440,432696,2,29-May-09,1920,Unclassified
452809,432090,435620,2,29-May-09,1735,B
452809,432090,435620,2,29-May-09,1735,B
452809,432090,435620,2,29-May-09,1735,B
422909,423853,434676,1,30-May-09,1110,Unclassified
426109,431095,433727,2,30-May-09,1950,A(M)
426109,431095,433727,2,30-May-09,1950,A(M)
431109,433551,445024,2,30-May-09,1730,A
431109,433551,445024,2,30-May-09,1730,A
432709,430790,433471,1,30-May-09,1426,A
432909,428456,429079,2,30-May-09,1330,A
432909,428456,429079,2,30-May-09,1330,A
438809,429118,428125,1,30-May-09,1025,Unclassified
476209,425906,436258,2,30-May-09,1120,A
549809,432944,426586,2,30-May-09,145,A
426709,424638,433559,3,31-May-09,1140,A
426709,424638,433559,3,31-May-09,1140,A
433009,431995,429075,2,31-May-09,1900,Unclassified
433009,431995,429075,2,31-May-09,1900,Unclassified
441909,422875,439313,2,31-May-09,1457,Unclassified
441909,422875,439313,2,31-May-09,1457,Unclassified
441909,422875,439313,2,31-May-09,1457,Unclassified
441909,422875,439313,2,31-May-09,1457,Unclassified
433309,429684,430763,1,1-Jun-09,1930,Unclassified
434809,427296,433634,2,1-Jun-09,1710,A
438409,437471,431274,1,1-Jun-09,1750,Motorway
446009,423989,438139,1,1-Jun-09,1550,Unclassified
446309,444190,433884,1,1-Jun-09,110,A(M)
446309,444190,433884,1,1-Jun-09,110,A(M)
451609,426977,432308,2,1-Jun-09,858,Unclassified
433709,430162,433766,1,2-Jun-09,1030,Unclassified
433709,430162,433766,1,2-Jun-09,1030,Unclassified
434309,427547,431985,2,2-Jun-09,715,A
446709,438731,429963,2,2-Jun-09,2030,Unclassified
450009,428455,429067,2,2-Jun-09,1645,A
454209,437525,433018,1,2-Jun-09,2327,Unclassified
454709,420577,440162,2,2-Jun-09,1740,A
438509,430761,433525,1,3-Jun-09,1250,A
441509,430080,432200,1,3-Jun-09,2015,A
442309,428912,434797,1,3-Jun-09,2339,Unclassified
443609,433173,434023,2,3-Jun-09,1425,A
446609,430063,433950,2,3-Jun-09,1206,Unclassified
446809,431275,433833,2,3-Jun-09,1956,Unclassified
455009,426272,433566,1,3-Jun-09,1750,Unclassified
441009,429107,436249,2,4-Jun-09,920,Unclassified
444309,430480,435431,2,4-Jun-09,1230,A
445509,429388,434939,2,4-Jun-09,1213,A
445509,429388,434939,2,4-Jun-09,1213,A
446209,429847,432998,2,4-Jun-09,1640,Unclassified
572209,427599,436800,2,4-Jun-09,740,A
415209,430076,433877,1,5-Jun-09,1035,Unclassified
444609,427780,434626,2,5-Jun-09,1305,Unclassified
446509,427529,438624,2,5-Jun-09,835,Unclassified
451009,433468,434897,2,5-Jun-09,1834,Unclassified
452209,435321,434812,2,5-Jun-09,1600,Unclassified
459309,428102,426660,2,5-Jun-09,1315,A
459309,428102,426660,2,5-Jun-09,1315,A
451309,439482,426194,1,6-Jun-09,300,A
453009,430055,434014,1,6-Jun-09,1554,Unclassified
461409,434489,430667,1,6-Jun-09,840,Motorway
470309,425271,437602,2,6-Jun-09,1345,Unclassified
470309,425271,437602,2,6-Jun-09,1345,Unclassified
448009,432013,426289,2,7-Jun-09,30,Motorway
448709,429234,428145,2,7-Jun-09,1800,Unclassified
470109,430982,433446,1,7-Jun-09,2307,A
491409,440591,432096,1,7-Jun-09,210,A
491409,440591,432096,1,7-Jun-09,210,A
462409,422177,441877,2,8-Jun-09,1230,A
470709,429735,434683,2,8-Jun-09,655,A
486409,427958,430345,2,8-Jun-09,1845,A
533209,443041,445603,1,8-Jun-09,1800,A
454609,430781,433498,1,9-Jun-09,1355,Unclassified
454809,430921,434358,2,9-Jun-09,852,Unclassified
455409,432061,430385,1,9-Jun-09,1115,A
456409,430661,427029,1,9-Jun-09,1141,A
458609,429605,434659,1,9-Jun-09,1436,A
461709,430817,433274,2,9-Jun-09,2220,A
461709,430817,433274,2,9-Jun-09,2220,A
462309,430267,433739,1,9-Jun-09,1345,Unclassified
476509,419444,434554,1,9-Jun-09,2055,Unclassified
482209,430732,435030,2,9-Jun-09,1325,Unclassified
482209,430732,435030,2,9-Jun-09,1325,Unclassified
527909,422378,432607,2,9-Jun-09,1635,Unclassified
462709,430082,431189,1,10-Jun-09,1523,A
466209,431342,433935,2,10-Jun-09,1917,Unclassified
461809,427995,435188,2,11-Jun-09,745,Unclassified
465509,430489,437163,2,11-Jun-09,1810,Unclassified
465709,437997,432950,2,11-Jun-09,2113,A
466109,424609,435110,2,11-Jun-09,1740,A
466509,432160,436134,3,11-Jun-09,1835,Unclassified
468009,422408,428986,2,11-Jun-09,1730,A
473809,430277,431962,2,11-Jun-09,1625,Motorway
473809,430277,431962,2,11-Jun-09,1625,Motorway
487209,437009,434736,2,11-Jun-09,2110,Unclassified
487409,429309,435024,2,11-Jun-09,230,A
487409,429309,435024,2,11-Jun-09,230,A
487409,429309,435024,2,11-Jun-09,230,A
466309,428501,434312,1,12-Jun-09,15,Unclassified
469109,440953,447834,2,12-Jun-09,1823,A(M)
469609,431956,430318,2,12-Jun-09,1635,A
469609,431956,430318,2,12-Jun-09,1635,A
471009,428213,433557,2,12-Jun-09,820,Unclassified
473009,429514,430279,2,12-Jun-09,750,A
473009,429514,430279,2,12-Jun-09,750,A
475509,438705,445866,2,12-Jun-09,1700,A
468609,420514,436541,2,13-Jun-09,1235,Unclassified
469209,424249,428164,2,13-Jun-09,1,A
472509,423132,428428,2,13-Jun-09,1313,Unclassified
476109,432453,435205,2,13-Jun-09,1923,Unclassified
494709,431551,428503,2,13-Jun-09,228,Unclassified
468909,428368,428719,1,14-Jun-09,1536,Unclassified
471209,436168,427633,2,14-Jun-09,1209,A
471209,436168,427633,2,14-Jun-09,1209,A
472309,420901,434493,2,14-Jun-09,1820,A
473909,432291,445653,2,14-Jun-09,1250,A
473909,432291,445653,2,14-Jun-09,1250,A
476309,432408,439852,3,14-Jun-09,1205,Unclassified
481809,427297,433401,3,14-Jun-09,1358,Unclassified
484109,424859,441872,2,14-Jun-09,1150,Unclassified
473609,433671,429620,2,15-Jun-09,1450,A
473609,433671,429620,2,15-Jun-09,1450,A
474309,425224,436936,2,15-Jun-09,1750,Unclassified
478509,426475,426737,2,15-Jun-09,810,A
478509,426475,426737,2,15-Jun-09,810,A
483609,425494,435376,2,15-Jun-09,1130,Unclassified
486509,429347,434617,1,15-Jun-09,1100,Unclassified
474509,428965,433912,2,16-Jun-09,18,Unclassified
474509,428965,433912,2,16-Jun-09,18,Unclassified
478709,430906,436530,1,16-Jun-09,1240,Unclassified
478909,430786,438591,2,16-Jun-09,1355,Unclassified
478909,430786,438591,2,16-Jun-09,1355,Unclassified
481509,428000,436009,2,16-Jun-09,1830,A
482809,428413,437837,2,16-Jun-09,700,Unclassified
483009,427453,434949,3,16-Jun-09,1730,Unclassified
483009,427453,434949,3,16-Jun-09,1730,Unclassified
483009,427453,434949,3,16-Jun-09,1730,Unclassified
483509,435472,425890,3,16-Jun-09,1650,Motorway
484609,426578,427694,2,16-Jun-09,1900,Unclassified
487109,433186,433968,2,16-Jun-09,2040,Unclassified
487909,426248,431904,1,16-Jun-09,1540,Unclassified
499909,440772,428644,1,16-Jun-09,1225,Unclassified
586409,436029,436955,1,16-Jun-09,2115,Unclassified
482609,430476,437228,2,17-Jun-09,1315,Unclassified
487309,429816,434396,2,17-Jun-09,1545,A
496009,430739,434770,2,17-Jun-09,1710,A
486609,426874,429164,2,18-Jun-09,1549,A
486609,426874,429164,2,18-Jun-09,1549,A
486609,426874,429164,2,18-Jun-09,1549,A
486609,426874,429164,2,18-Jun-09,1549,A
497009,430131,432173,2,18-Jun-09,1709,A
502609,429759,427354,1,18-Jun-09,1735,Unclassified
503509,427444,436139,2,18-Jun-09,2042,Unclassified
548709,426824,434970,2,18-Jun-09,815,A
483109,439684,449044,2,19-Jun-09,1022,Unclassified
485809,419324,441747,2,19-Jun-09,2200,A
485809,419324,441747,2,19-Jun-09,2200,A
485809,419324,441747,2,19-Jun-09,2200,A
486809,435344,427518,2,19-Jun-09,805,Unclassified
487809,430082,435418,2,19-Jun-09,2330,Unclassified
488509,441005,445700,2,19-Jun-09,1600,A(M)
488509,441005,445700,2,19-Jun-09,1600,A(M)
490309,433187,434012,2,19-Jun-09,1430,A
490809,430806,433455,2,19-Jun-09,1350,Unclassified
494809,427708,434474,3,19-Jun-09,1035,A
495909,418792,444757,2,19-Jun-09,1715,A
496209,432430,435184,2,19-Jun-09,1833,Unclassified
496209,432430,435184,2,19-Jun-09,1833,Unclassified
497209,432489,436579,2,19-Jun-09,2106,Unclassified
497209,432489,436579,2,19-Jun-09,2106,Unclassified
497209,432489,436579,2,19-Jun-09,2106,Unclassified
497209,432489,436579,2,19-Jun-09,2106,Unclassified
497209,432489,436579,2,19-Jun-09,2106,Unclassified
497209,432489,436579,2,19-Jun-09,2106,Unclassified
488209,424246,434481,2,20-Jun-09,2320,Unclassified
488209,424246,434481,2,20-Jun-09,2320,Unclassified
493409,430678,424632,1,20-Jun-09,1030,A
495209,428275,434565,2,20-Jun-09,1150,Unclassified
497909,421504,435905,2,20-Jun-09,1300,A
503709,425670,432193,1,20-Jun-09,1915,Unclassified
528909,433178,434010,2,20-Jun-09,1930,A
490609,431221,440980,1,21-Jun-09,400,A
490609,431221,440980,1,21-Jun-09,400,A
490609,431221,440980,1,21-Jun-09,400,A
490609,431221,440980,1,21-Jun-09,400,A
492909,433644,429581,1,21-Jun-09,2312,A
516509,436072,434288,3,21-Jun-09,2050,Unclassified
516509,436072,434288,3,21-Jun-09,2050,Unclassified
495709,431905,435737,2,22-Jun-09,1720,A
496109,440420,442434,2,22-Jun-09,1740,Unclassified
496509,424787,434807,1,22-Jun-09,2230,Unclassified
502209,430527,438554,1,22-Jun-09,1425,Unclassified
510609,445588,430929,1,22-Jun-09,1255,Unclassified
510909,426815,435708,2,22-Jun-09,1510,B
511609,431493,435124,2,22-Jun-09,1,A
499709,422550,436277,1,23-Jun-09,1644,Unclassified
502409,428956,435471,2,23-Jun-09,2330,A
504609,423042,437642,2,23-Jun-09,700,A
509809,440219,432994,2,23-Jun-09,1915,Unclassified
519309,430963,435867,2,23-Jun-09,845,Unclassified
528509,431512,435149,2,23-Jun-09,1720,Unclassified
528509,431512,435149,2,23-Jun-09,1720,Unclassified
594809,428835,436568,3,23-Jun-09,2225,Unclassified
502109,429605,431110,2,24-Jun-09,1645,Unclassified
517309,437486,431651,2,24-Jun-09,1330,Unclassified
518209,431618,437090,2,24-Jun-09,1550,Unclassified
527509,429411,437318,1,24-Jun-09,1650,Unclassified
503309,422833,433543,1,25-Jun-09,755,B
503309,422833,433543,1,25-Jun-09,755,B
504009,429410,431359,1,25-Jun-09,1620,Unclassified
504309,428784,432689,3,25-Jun-09,910,A
504309,428784,432689,3,25-Jun-09,910,A
504909,430030,432524,1,25-Jun-09,1730,A
507009,422363,433452,2,25-Jun-09,1300,Unclassified
516409,440953,439816,2,25-Jun-09,1345,A
518509,430187,432827,2,25-Jun-09,2115,A
527709,436116,435543,2,25-Jun-09,1730,A
508909,426338,428160,2,26-Jun-09,855,B
509209,423005,429426,1,26-Jun-09,1235,A
511109,429043,436820,1,26-Jun-09,845,B
511409,424127,444004,2,26-Jun-09,2350,A
511409,424127,444004,2,26-Jun-09,2350,A
515409,423772,437592,2,26-Jun-09,1150,A
515409,423772,437592,2,26-Jun-09,1150,A
516809,433894,433444,1,26-Jun-09,1505,Unclassified
516809,433894,433444,1,26-Jun-09,1505,Unclassified
594509,434117,428643,1,26-Jun-09,1750,Unclassified
505309,422924,437549,2,27-Jun-09,1225,A
505309,422924,437549,2,27-Jun-09,1225,A
509409,430954,428794,1,27-Jun-09,1520,Unclassified
509909,427403,430422,1,27-Jun-09,1214,Unclassified
512209,426016,437494,1,27-Jun-09,1000,Unclassified
517509,430444,434909,1,27-Jun-09,35,Unclassified
506309,420406,445344,1,28-Jun-09,215,Unclassified
506309,420406,445344,1,28-Jun-09,215,Unclassified
518809,429165,430536,2,28-Jun-09,1700,Unclassified
520109,432331,436321,2,28-Jun-09,1720,Unclassified
520109,432331,436321,2,28-Jun-09,1720,Unclassified
522109,441220,448722,2,28-Jun-09,1945,A(M)
516009,428569,431477,2,29-Jun-09,1056,A
516009,428569,431477,2,29-Jun-09,1056,A
516009,428569,431477,2,29-Jun-09,1056,A
516009,428569,431477,2,29-Jun-09,1056,A
516609,429057,433891,3,29-Jun-09,1335,Unclassified
517009,430091,434604,2,29-Jun-09,935,Unclassified
519909,431934,435779,2,29-Jun-09,1105,A
520509,432237,434671,1,29-Jun-09,928,Unclassified
521109,426729,428111,1,29-Jun-09,2030,Unclassified
518609,429883,432819,1,30-Jun-09,807,Unclassified
521409,428097,434684,2,30-Jun-09,1635,Unclassified
523909,420429,440373,2,30-Jun-09,945,A
530809,424574,427831,1,30-Jun-09,637,Motorway
541809,429793,433791,2,1-Jul-09,1300,Unclassified
547009,433435,442574,2,1-Jul-09,1215,Unclassified
523609,429794,433789,2,2-Jul-09,820,Unclassified
524709,437923,433096,3,2-Jul-09,136,Motorway
527209,430656,433451,1,2-Jul-09,1446,Unclassified
527809,428647,430800,2,2-Jul-09,1545,Unclassified
529109,432458,434817,1,2-Jul-09,1154,B
530509,422263,433347,1,2-Jul-09,1056,Unclassified
531009,428760,431606,1,2-Jul-09,1852,Motorway
531409,420981,434467,2,2-Jul-09,940,B
531409,420981,434467,2,2-Jul-09,940,B
531709,437768,433085,2,2-Jul-09,2005,A
531709,437768,433085,2,2-Jul-09,2005,A
531709,437768,433085,2,2-Jul-09,2005,A
533109,428435,435000,2,2-Jul-09,1815,Unclassified
538309,425634,434236,2,2-Jul-09,1910,A
574709,428060,435959,2,2-Jul-09,1605,A
589709,425806,427156,2,2-Jul-09,2140,B
589709,425806,427156,2,2-Jul-09,2140,B
532709,425623,433083,2,3-Jul-09,845,B
534409,430072,433934,2,3-Jul-09,2340,Unclassified
534609,429940,427139,2,3-Jul-09,1447,Unclassified
538509,437664,444762,3,3-Jul-09,2035,A
538509,437664,444762,3,3-Jul-09,2035,A
538509,437664,444762,3,3-Jul-09,2035,A
538509,437664,444762,3,3-Jul-09,2035,A
538509,437664,444762,3,3-Jul-09,2035,A
