Week,Commodity,Trend,Text,RefinedTrend
weekly_02_2025_Eng.txt,rice,Unknown,360.00/kg. Price of imported potato has,Stable
weekly_02_2025_Eng.txt,rice,Decrease,decreased by 3% and price ranged,Decrease
weekly_02_2025_Eng.txt,rice,Unknown,current wholesale prices of Nuwara Eliya,Stable
weekly_02_2025_Eng.txt,potato,Increase,and imported potatoes have increased by,Increase
weekly_02_2025_Eng.txt,rice,Unknown,"In line with the wholesale prices, retail price",Stable
weekly_02_2025_Eng.txt,potato,Decrease,of imported potato has decreased by,Decrease
weekly_02_2025_Eng.txt,rice,Unknown,Rs.17.00/kg while the retail price of Nuwara,Stable
weekly_02_2025_Eng.txt,potato,Increase,Eliya potato has increased by Rs.16.00/kg,Increase
weekly_02_2025_Eng.txt,rice,Unknown,the current retail prices of both imported and,Stable
weekly_02_2025_Eng.txt,potato,Increase,Nuwara Eliya potatoes have increased by,Increase
weekly_02_2025_Eng.txt,rice,Increase,Prices of green gram has increased,Increase
weekly_02_2025_Eng.txt,rice,Unknown,by 4% and price ranged Rs.500.00 -,Stable
weekly_02_2025_Eng.txt,rice,Unknown,650.00/kg. Price of red cowpea has,Stable
weekly_02_2025_Eng.txt,rice,Decrease,decreased by 3% and price ranged,Decrease
weekly_02_2025_Eng.txt,rice,Unknown,Rs.475.00-600.00/kg. Prices of both white,Stable
weekly_02_2025_Eng.txt,dhal,Unknown,cowpea and red dhal have not changed,Stable
weekly_02_2025_Eng.txt,rice,Unknown,significantly and average prices,Stable
weekly_02_2025_Eng.txt,rice,Unknown,current whole sale prices of all pulses,Stable
weekly_02_2025_Eng.txt,rice,Unknown,The retail prices of all types of pulses have,Stable
weekly_02_2025_Eng.txt,rice,Decrease,price decreased of Rs.11.00/kg was recorded,Decrease
weekly_02_2025_Eng.txt,rice,Unknown,for red cowpea. The retail price of green,Stable
weekly_02_2025_Eng.txt,rice,Increase,gram has increased by Rs.4.00/kg and price,Increase
weekly_02_2025_Eng.txt,rice,Unknown,the current retail prices of all types of pulses,Stable
weekly_02_2025_Eng.txt,rice,Decrease,have decreased with the highest price,Decrease
weekly_02_2025_Eng.txt,vegetable,Unknown,Vegetable,Stable
weekly_02_2025_Eng.txt,rice,Unknown,Prices of some of the up -country,Increase
