Week,Commodity,Trend,Text
weekly_02_2025_Eng.txt,rice,Unknown,the current retail prices of both imported and
weekly_02_2025_Eng.txt,potato,Increase,Nuwara Eliya potatoes have increased by
weekly_02_2025_Eng.txt,rice,Increase,Prices of green gram has increased
weekly_02_2025_Eng.txt,rice,Unknown,by 4% and price ranged Rs.500.00 -
weekly_02_2025_Eng.txt,rice,Unknown,650.00/kg. Price of red cowpea has
weekly_02_2025_Eng.txt,rice,Decrease,decreased by 3% and price ranged
weekly_02_2025_Eng.txt,rice,Unknown,Rs.475.00-600.00/kg. Prices of both white
weekly_02_2025_Eng.txt,dhal,Unknown,cowpea and red dhal have not changed
weekly_02_2025_Eng.txt,rice,Unknown,significantly and average prices
weekly_02_2025_Eng.txt,rice,Unknown,current whole sale prices of all pulses
weekly_02_2025_Eng.txt,rice,Unknown,The retail prices of all types of pulses have
weekly_02_2025_Eng.txt,rice,Decrease,price decreased of Rs.11.00/kg was recorded
weekly_02_2025_Eng.txt,rice,Unknown,for red cowpea. The retail price of green
weekly_02_2025_Eng.txt,rice,Increase,gram has increased by Rs.4.00/kg and price
weekly_02_2025_Eng.txt,rice,Unknown,the current retail prices of all types of pulses
weekly_02_2025_Eng.txt,rice,Decrease,have decreased with the highest price
weekly_02_2025_Eng.txt,vegetable,Unknown,Vegetable
weekly_02_2025_Eng.txt,rice,Unknown,Prices of some of the up -country
weekly_02_2025_Eng.txt,vegetable,Increase,vegetables have increased due to decrease
weekly_02_2025_Eng.txt,rice,Unknown,while prices of most of the low-country
weekly_02_2025_Eng.txt,vegetable,Increase,vegetables have decreased with increased
weekly_02_2025_Eng.txt,vegetable,Unknown,"Among the upcountry vegetables, the"
weekly_02_2025_Eng.txt,rice,Increase,highest price increase noted for beans by
weekly_02_2025_Eng.txt,rice,Unknown,"Balangoda area. Prices of knol-khol, radish"
weekly_02_2025_Eng.txt,rice,Unknown,"However, prices of carrot, leeks, and"
weekly_02_2025_Eng.txt,rice,Unknown,"stocks. Further, price of tomato  has"
weekly_02_2025_Eng.txt,rice,Unknown,Bandarawela areas. Price of capsicum has
weekly_02_2025_Eng.txt,vegetable,Unknown,"Considering low-country vegetables, most"
weekly_02_2025_Eng.txt,rice,Unknown,of the vegetable varieties experienced price
weekly_02_2025_Eng.txt,rice,Decrease,pumpkin (13%) prices decreased
weekly_02_2025_Eng.txt,rice,Unknown,significantly. Prices of long beans and luffa
weekly_02_2025_Eng.txt,rice,Unknown,"However, prices of ladies fingers,"
weekly_02_2025_Eng.txt,rice,Unknown,"in the range of 6% - 13%. In addition, price"
weekly_02_2025_Eng.txt,rice,Decrease,while price of lime has decreased by 16%.
weekly_02_2025_Eng.txt,rice,Decrease,most vegetable prices have decreased with
weekly_02_2025_Eng.txt,rice,Unknown,Retail prices of most of the upcountry
weekly_02_2025_Eng.txt,vegetable,Increase,vegetable varieties have increased. The
weekly_02_2025_Eng.txt,rice,Increase,highest price increase was reported for
weekly_02_2025_Eng.txt,rice,Unknown,knolkhol (Rs.35.00/kg). Price of beetroot
weekly_02_2025_Eng.txt,rice,Unknown,Retail prices of most of the low-country
weekly_02_2025_Eng.txt,vegetable,Decrease,vegetable varieties have decreased in line
weekly_02_2025_Eng.txt,rice,Unknown,with the downward wholesale price trend.
weekly_02_2025_Eng.txt,rice,Unknown,Tomato prices showed a significant price
weekly_02_2025_Eng.txt,rice,Decrease,Price of capsicum has decreased by
weekly_02_2025_Eng.txt,rice,Decrease,week.  Price of lime has decreased by
weekly_02_2025_Eng.txt,rice,Unknown,Rs.43.00/kg while price of green chilies
weekly_02_2025_Eng.txt,rice,Increase,has shown a significant price increase of
weekly_02_2025_Eng.txt,rice,Unknown,prices of most of the vegetable varieties
weekly_02_2025_Eng.txt,rice,Decrease,have decreased with the highest price
weekly_02_2025_Eng.txt,coconut,Unknown,Coconut
weekly_02_2025_Eng.txt,rice,Unknown,Prices of both large and small
weekly_02_2025_Eng.txt,rice,Unknown,respectively. Price ranges were Rs. 180.00-
weekly_02_2025_Eng.txt,rice,Unknown,the current wholesale prices of large and
weekly_02_2025_Eng.txt,rice,Unknown,Prices of both large and small nuts have
weekly_02_2025_Eng.txt,rice,Unknown,Rs.3.00/nut respectively. Price ranges were
weekly_02_2025_Eng.txt,rice,Unknown,prices of both large nuts and small nuts
weekly_02_2025_Eng.txt,fruit,Unknown,Fruits
weekly_02_2025_Eng.txt,rice,Unknown,Prices of most fruit varieties have
weekly_02_2025_Eng.txt,rice,Decrease,The highest price decrease of 32% was
weekly_02_2025_Eng.txt,rice,Unknown,"Among the banana varieties, price of"
weekly_02_2025_Eng.txt,rice,Unknown,"to excessive stocks. Meanwhile, price of"
weekly_02_2025_Eng.txt,rice,Unknown,festival. Prices of local orange and avocado
weekly_02_2025_Eng.txt,rice,Decrease,Price of slime apple has decreased by 14%
weekly_02_2025_Eng.txt,rice,Increase,A slight price increase was noted for all the
weekly_02_2025_Eng.txt,rice,Increase,prices of most of fruits have increased.
weekly_02_2025_Eng.txt,rice,Unknown,"In line with the wholesale prices, r etail"
weekly_02_2025_Eng.txt,rice,Unknown,prices of most of the fruit varieties have
weekly_02_2025_Eng.txt,rice,Decrease,price decrease of Rs.19.00/kg was reported
weekly_02_2025_Eng.txt,rice,Unknown,for kolikuttu. Price of papaw has also
weekly_02_2025_Eng.txt,rice,Unknown,price of all sizes of pineapple have
weekly_02_2025_Eng.txt,rice,Unknown,27.00/fruit. Price of imported grapes from
weekly_02_2025_Eng.txt,rice,Unknown,"Compared to last year, price of most of fruit"
weekly_02_2025_Eng.txt,rice,Increase,price increase of 62% recorded for
weekly_02_2025_Eng.txt,fish,Unknown,Fresh Fish
weekly_02_2025_Eng.txt,rice,Unknown,Wholesale prices of most of the fresh fish
weekly_02_2025_Eng.txt,rice,Increase,supply. The price increase of 12% and 7%
weekly_02_2025_Eng.txt,rice,Decrease,"areas. However, the prices decrease of 6%"
weekly_02_2025_Eng.txt,rice,Unknown,Mullaitivu and Southern areas. Prices of
weekly_02_2025_Eng.txt,fish,Increase,other fresh fish varieties have increased
weekly_02_2025_Eng.txt,rice,Unknown,current wholesale prices of most of the
weekly_02_2025_Eng.txt,fish,Decrease,fresh fish types have decreased with the
weekly_02_2025_Eng.txt,rice,Decrease,highest price decrease of 19% was noted
weekly_02_2025_Eng.txt,rice,Unknown,The prices of all the fish varieties except
weekly_02_2025_Eng.txt,rice,Increase,and the highest price increase was
weekly_02_2025_Eng.txt,rice,Increase,Price increase of paraw and thalapath
weekly_02_2025_Eng.txt,rice,Decrease,highest price decrease was recorded for
weekly_02_2025_Eng.txt,rice,Decrease,salaya by Rs.44.00/kg. Price decrease of
weekly_02_2025_Eng.txt,rice,Unknown,prices of most of the fish varieties have
weekly_02_2025_Eng.txt,rice,Decrease,decreased with the highest price decrease
weekly_02_2025_Eng.txt,rice,Increase,and the highest price increase was recorded
weekly_02_2025_Eng.txt,fish,Unknown,Dried Fish
weekly_02_2025_Eng.txt,rice,Unknown,Prices of most of the dried fish types have
weekly_02_2025_Eng.txt,fish,Increase,increased due to decrease of local dried fish
weekly_02_2025_Eng.txt,rice,Increase,supply. The prices have increased by of 9%
weekly_02_2025_Eng.txt,rice,Decrease,price of imported sprats has decreased by
weekly_02_2025_Eng.txt,rice,Unknown,Thailand. Prices of other dried fish
weekly_02_2025_Eng.txt,rice,Unknown,current wholesale prices of most of the
weekly_02_2025_Eng.txt,fish,Decrease,dried fish types have decreased and the
weekly_02_2025_Eng.txt,rice,Decrease,highest price decrease of 30% was noted
weekly_02_2025_Eng.txt,rice,Unknown,Prices of all the dry fish varieties except for
weekly_02_2025_Eng.txt,rice,Increase,have increased and the highest price
weekly_02_2025_Eng.txt,rice,Increase,Rs.114.00/kg. Price increase of anguluwa
weekly_02_2025_Eng.txt,rice,Unknown,and Rs.79.00/kg respectively.  Price
weekly_02_2025_Eng.txt,rice,Unknown,prices of most of the dried fish varieties
weekly_02_2025_Eng.txt,rice,Decrease,have decreased with the highest price
weekly_02_2025_Eng.txt,egg,Unknown,Eggs
weekly_02_2025_Eng.txt,rice,Unknown,Prices of both brown and white eggs have
weekly_02_2025_Eng.txt,rice,Increase,increased by 1% and prices ranged
weekly_02_2025_Eng.txt,egg,Unknown,Rs.36.00-40.00/egg for brown eggs and
weekly_02_2025_Eng.txt,egg,Unknown,Rs. 34.00- 38.00/egg for white eggs.
weekly_02_2025_Eng.txt,rice,Unknown,prices of both brown and white eggs have
weekly_02_2025_Eng.txt,rice,Unknown,Prices of both brown and white egg have
weekly_02_2025_Eng.txt,egg,Increase,increased by about Rs.1.00/egg and the
weekly_02_2025_Eng.txt,rice,Unknown,price ranged   Rs.36.00-40.00/egg for white
weekly_02_2025_Eng.txt,egg,Unknown,eggs and Rs.38.00-42.00/egg for brown
weekly_02_2025_Eng.txt,rice,Unknown,eggs. The average prices of white and
weekly_02_2025_Eng.txt,egg,Unknown,brown eggs have recorded as Rs.38.28 and
weekly_02_2025_Eng.txt,rice,Unknown,the prices of both eg g varieties have
weekly_02_2025_Eng.txt,rice,Increase,Price increase of curry chicken and beef
weekly_02_2025_Eng.txt,rice,Unknown,Prices of broiler chicken and mutton have
weekly_02_2025_Eng.txt,rice,Unknown,prices of most of meat varieties have
weekly_02_2025_Eng.txt,rice,Increase,increased with the highest price increase
weekly_02_2025_Eng.txt,chicken,Unknown,was recorded for curry chicken by 16%.
weekly_02_2025_Eng.txt,rice,Unknown,wholesale and retail prices of selected food
weekly_02_2025_Eng.txt,rice,Unknown,"prevailing prices, price ranges, averages, and a"
weekly_02_2025_Eng.txt,rice,Unknown,comparison of weekly prices. The changes in
weekly_02_2025_Eng.txt,rice,Unknown,prices reported are always with price prevailed
weekly_02_2025_Eng.txt,rice,Unknown,The frequency of collection of wholesale price
weekly_02_2025_Eng.txt,rice,Unknown,"Friday) while with retail prices, it is thrice a"
weekly_02_2025_Eng.txt,rice,Unknown,Rice VarietiesLOCATIONS
weekly_02_2025_Eng.txt,rice,Unknown,Table 01: Selected Markets:Wholesale Price of Rice (Rs/50kg bag)
weekly_02_2025_Eng.txt,rice,Unknown,Table 02: Selected Markets: Retail Price of Rice (Rs/kg)
weekly_02_2025_Eng.txt,rice,Unknown,LOCATIONS Rice Varieties
weekly_02_2025_Eng.txt,dhal,Unknown,Green Gram Cowpea Red Dhal
weekly_02_2025_Eng.txt,rice,Unknown,Table 04: Selected Markets:Wholesale Price of Subsidiary Food (Rs/50kg)
weekly_02_2025_Eng.txt,onion,Unknown,Dried Chillies Red Onion Big Onion PotatoLOCATION Imported Imported Local Imported Welimada
weekly_02_2025_Eng.txt,rice,Unknown,Table 05: Selected Markets: Retail Price of Subsidiary Food Crops (Rs/kg)
weekly_02_2025_Eng.txt,onion,Unknown,Dried Chillies Red Onion Big Onion Potato Pulses
weekly_02_2025_Eng.txt,dhal,Unknown,Green Gram Cowpea Red Dhal
weekly_02_2025_Eng.txt,rice,Unknown,Table 06: Selected Markets: Wholesale Price of Vegetables(Rs/kg)
weekly_02_2025_Eng.txt,potato,Unknown,ManiocLong Beans Ash Plantain Green Chillies Lime Sweet Potatoe
weekly_02_2025_Eng.txt,rice,Unknown,"Colombo, Meegoda, Norochchole, Jaffna,Dambulla and Kandy - Gotukola Price Rs/Kg"
weekly_02_2025_Eng.txt,vegetable,Unknown,Leafy Vegetables (Rs/bundle)
weekly_02_2025_Eng.txt,coconut,Unknown,Coconut (Rs/nut)
weekly_02_2025_Eng.txt,rice,Unknown,Table 07: Selected Markets: Retail Price of Vegetables (Rs/kg)
weekly_02_2025_Eng.txt,potato,Unknown,Sweet Potato Large Small
weekly_02_2025_Eng.txt,vegetable,Unknown,Low Country Varieties Leafy Vegetable Coconut (Rs/nut)
weekly_02_2025_Eng.txt,rice,Unknown,Table 08: Selected Markets: Retail Price of Fruits (Rs/each & Rs/kg)
weekly_02_2025_Eng.txt,fruit,Unknown,Mango Other Fruits
weekly_02_2025_Eng.txt,coconut,Unknown,Passion Avocado Slime Apple Grapes (Rs/kg) King CoconutWood Apple Orange
weekly_02_2025_Eng.txt,fish,Unknown,Local Dried Fish Imported Dried Fish
weekly_02_2025_Eng.txt,fish,Unknown,Imported Dried Fish
weekly_02_2025_Eng.txt,fish,Unknown,Local Dried Fish
weekly_02_2025_Eng.txt,rice,Unknown,Table 10: Selected Markets: Wholesale Price of Dried Fish (Rs/50kg)
weekly_02_2025_Eng.txt,fish,Unknown,Sea Fish Eggs
weekly_02_2025_Eng.txt,rice,Unknown,Table 09: Selected Markets: Wholesale Price of Fresh Fish & Eggs (Rs/kg & Rs/egg)
weekly_02_2025_Eng.txt,fish,Unknown,Sea FishLocations
